treeno,species,x,y,dbh,ht,cw
521,2,23.528,39.273,8.1,7.6,19.6
522,2,21.615,39.595,6,6.1,18.3
523,2,22.181,38.268,5.7,5.8,18
524,1,22.826,38.046,3.5,4.1,17.1
525,2,24.047,38.13,7.1,6.9,19
526,2,22.983,37.593,4.9,5.2,17.7
527,2,23.34,35.7,6.5,6.4,18
528,12,22.402,35.387,13.6,11.1,20.6
529,12,19.38,32.481,18.9,13,20.9
530,12,18.614,31.581,22.7,14,21.7
531,2,17.405,30.89,8.2,7.7,16
532,2,16.661,32.213,5.3,5.5,14.9
533,2,17.763,32.467,2.9,3.6,14.2
534,2,17.514,32.465,4.7,5.1,14.9
535,2,17.41,33.854,5.8,5.9,15.7
536,12,15.959,34.385,33,16.1,24.9
537,2,15.19,35.882,3.5,4.1,14.7
538,12,17.233,38.281,24,14.4,23.5
539,2,17.669,39.133,8.3,7.7,18.2
540,12,15.705,38.572,5.3,6,16.4
541,12,14.824,38.085,5.5,6.2,16.1
542,2,15.075,39.346,5.6,5.8,16.4
543,12,12.164,38.795,19.8,13.3,21
544,2,13.062,33.63,10.9,9.5,16.8
545,1,8.893,31.782,24.5,16.5,20.4
546,1,5.72,30.57,18,13.5,17
547,1,4.694,32.137,22.5,15.6,18.7
548,1,6.325,34.011,16.1,12.5,17.2
549,1,4.181,35.982,19,14,18.3
550,2,9.008,35.916,12.1,10.2,16.8
551,12,7.434,39.431,22.7,14,20.9
552,1,2.679,39.399,19.3,14.2,18.9
553,1,1.273,43.484,23.9,16.2,21.2
554,1,4.155,46.209,13.1,10.8,18.6
555,1,3.275,48.29,17.7,13.4,20.7
556,12,4.788,48.533,9.5,9,18
557,6,7.458,45.23,22.3,17.1,23
558,12,10.1,46.047,7.5,7.7,17.8
559,6,10.978,47.421,27,18.5,26
560,2,11.949,45.694,6.7,6.6,17.7
561,2,11.063,45.36,5.1,5.4,16.7
562,6,11.031,41.882,58.1,23.1,33.5
563,2,13.91,43.596,4.6,5,16.8
564,2,14.729,42.62,7.8,7.4,18.1
565,2,16.322,42.143,3,3.6,16.3
566,12,16.642,41.943,27,15,25.1
567,2,17.361,40.591,6.6,6.5,17.8
568,2,18.967,42.564,6.4,6.4,18.6
569,2,18.338,43.939,7.5,7.2,19.2
