Number	x	y	species	dbh	height	CL
94387	316.77	262.284	1	8.7	8.3 	5.1 
94388	319.017	261.269	1	12	9.8 	5.7 
94388.2	319.017	261.269	1	7.4	7.7 	4.9 
94389	319.398	262.021	1	10	8.9 	5.3 
94395	308.371	263.552	1	10.9	9.3 	5.5 
94397	304.719	264.693	1	8.1	8.0 	5.0 
94398	303.425	264.661	1	8.8	8.3 	5.1 
94401	238.149	254.807	1	9.5	8.8 	3.9 
94401.2	238.149	254.807	1	5.7	6.9 	4.6 
94406	236.817	260.263	1	5.4	8.6 	7.9 
94409	262.944	243.53	1	11.9	11.8 	9.6 
94409.2	262.944	243.53	1	11.6	9.6 	5.6 
94414	275.206	245.178	1	11.2	8.7 	5.9 
94421	266.752	244.225	1	14.8	12.8 	10.3 
94421.2	266.752	244.225	1	10.3	9.0 	5.4 
94427	267.807	247.496	1	7.7	10.4 	9.5 
94435	267.339	249.026	1	12.1	11.7 	8.6 
94435.2	267.339	249.026	1	9.6	8.7 	5.3 
94435.3	267.339	249.026	1	8	7.9 	5.0 
94436	267.579	250.409	1	12.6	11.8 	6.4 
94439	261.867	256.466	1	5.1	5.9 	4.8 
94445	268.145	258.377	1	9.1	6.8 	4.1 
94463	290.954	242.525	1	3.8	5.2 	4.9 
94468	296.277	244.382	1	6.8	10.0 	9.2 
94470	294.021	245.418	1	9.3	8.6 	7.9 
94474	289.197	244.295	1	11.1	9.6 	7.8 
94476	284.706	245.051	1	12.6	10.6 	8.2 
94478	282.369	248.472	1	16.4	11.3 	7.2 
94481	289.555	246.799	1	5.2	4.7 	3.1 
